Symbol,Name,5-Year Return,AUM,Avg Daily Share Volume (3mo)
PSLV,The Sprott Physical Silver Trust,0.2079,,"18,766,217"
PAVE,Global X US Infrastructure Development ETF,0.2075,"$11,477,000.00","1,228,592"
ROKT,State Street SPDR S&P Kensho Final Frontiers ETF,0.2073,"$67,372.90","11,102"
MLPA,Global X MLP ETF,0.2073,"$2,062,760.00","297,721"
DBJP,Xtrackers MSCI Japan Hedged Equity ETF,0.2072,"$557,909.00","29,525"
DBP,Invesco DB Precious Metals Fund,0.207,"$290,967.00","20,643"
ITA,iShares U.S. Aerospace & Defense ETF,0.20550000000000002,"$14,480,000.00","764,911"
TPZ,Tortoise Electrification Infrastructure ETF,0.2051,"$128,205.00","15,137"
HEWJ,iShares Currency Hedged MSCI Japan ETF,0.20489999999999997,"$536,667.00","40,744"
SPUU,Direxion Daily S&P 500 Bull 2x Shares,0.2047,"$214,123.00","27,679"
NANR,State Street SPDR S&P North American Natural Resources ETF,0.20379999999999998,"$859,185.00","33,243"
FTXL,First Trust Nasdaq Semiconductor ETF,0.20329999999999998,"$1,528,280.00","311,902"
UDOW,ProShares UltraPro Dow30,0.2026,"$746,673.00","5,429,362"
TMV,Direxion Daily 20+ Year Treasury Bear 3x Shares,0.2024,"$161,380.00","1,117,925"
TTT,ProShares UltraPro Short 20+ Year Treasury,0.2011,"$18,723.50","7,884"
SDCI,USCF SummerHaven Dynamic Commodity Strategy No K-1 Fund,0.1997,"$386,858.00","191,362"
UYG,ProShares Ultra Financials,0.19899999999999998,"$759,606.00","17,165"
SSO,ProShares Ultra S&P 500,0.1984,"$7,335,730.00","4,493,665"
ATMP,Barclays ETN+ Select MLP ETN,0.1973,"$573,045.00","29,283"
UGA,United States Gasoline Fund LP,0.1954,"$89,001.90","24,029"
EWP,iShares MSCI Spain ETF,0.1937,"$1,846,960.00","750,790"
FXN,First Trust Energy AlphaDEX Fund,0.19260000000000002,"$279,102.00","531,122"
GLTR,abrdn Physical Precious Metals Basket Shares ETF,0.18989999999999999,"$3,063,280.00","169,149"
SGDJ,Sprott Junior Gold Miners ETF,0.18989999999999999,"$363,874.00","94,863"
PKB,Invesco Building & Construction ETF,0.1892,"$390,503.00","26,848"
